Largest objects in ORIGINAL PDF:
1803884 0 obj: 1019305 bytes
1679890 0 obj: 960662 bytes
1800044 0 obj: 926632 bytes
1796204 0 obj: 925755 bytes
676255 0 obj: 870792 bytes
568500 0 obj: 850332 bytes
1792363 0 obj: 825658 bytes
1754092 0 obj: 822288 bytes
873671 0 obj: 822287 bytes
1807623 0 obj: 747510 bytes
537055 0 obj: 638034 bytes
1660576 0 obj: 580960 bytes
821617 0 obj: 514752 bytes
1656836 0 obj: 490592 bytes
1649255 0 obj: 447584 bytes
1637833 0 obj: 418944 bytes
1622671 0 obj: 404960 bytes
300983 0 obj: 404192 bytes
304723 0 obj: 392672 bytes
817170 0 obj: 389568 bytes
